Beaverhead, Ronald Wilson Reagan, Republican, 72.02
Big Horn, Ronald Wilson Reagan, Republican, 46.32
Blaine, Ronald Wilson Reagan, Republican, 56.29
Broadwater, Ronald Wilson Reagan, Republican, 67.26
Carbon, Ronald Wilson Reagan, Republican, 56.64
Carter, Ronald Wilson Reagan, Republican, 72.4
Cascade, Ronald Wilson Reagan, Republican, 54.8
Chouteau, Ronald Wilson Reagan, Republican, 68.32
Custer, Ronald Wilson Reagan, Republican, 60.75
Daniels, Ronald Wilson Reagan, Republican, 65.19
Dawson, Ronald Wilson Reagan, Republican, 59.5
Deer Lodge, James Earl Carter, Democratic, 54.58
Fallon, Ronald Wilson Reagan, Republican, 66.98
Fergus, Ronald Wilson Reagan, Republican, 65.02
Flathead, Ronald Wilson Reagan, Republican, 63.54
Gallatin, Ronald Wilson Reagan, Republican, 58.63
Garfield, Ronald Wilson Reagan, Republican, 78.03
Glacier, Ronald Wilson Reagan, Republican, 55.78
Golden Valley, Ronald Wilson Reagan, Republican, 65.11
Granite, Ronald Wilson Reagan, Republican, 59.15
Hill, Ronald Wilson Reagan, Republican, 54.99
Jefferson, Ronald Wilson Reagan, Republican, 57.12
Judith Basin, Ronald Wilson Reagan, Republican, 63.31
Lake, Ronald Wilson Reagan, Republican, 59.58
Lewis and Clark, Ronald Wilson Reagan, Republican, 57.18
Liberty, Ronald Wilson Reagan, Republican, 69.43
Lincoln, Ronald Wilson Reagan, Republican, 57.19
McCone, Ronald Wilson Reagan, Republican, 67.98
Madison, Ronald Wilson Reagan, Republican, 70.59
Meagher, Ronald Wilson Reagan, Republican, 69.6
Mineral, Ronald Wilson Reagan, Republican, 48.28
Missoula, Ronald Wilson Reagan, Republican, 46.72
Musselshell, Ronald Wilson Reagan, Republican, 58.03
Park, Ronald Wilson Reagan, Republican, 63.42
Petroleum, Ronald Wilson Reagan, Republican, 65.98
Phillips, Ronald Wilson Reagan, Republican, 64.95
Pondera, Ronald Wilson Reagan, Republican, 66.14
Powder River, Ronald Wilson Reagan, Republican, 68.26
Powell, Ronald Wilson Reagan, Republican, 59.14
Prairie, Ronald Wilson Reagan, Republican, 62.57
Ravalli, Ronald Wilson Reagan, Republican, 63.73
Richland, Ronald Wilson Reagan, Republican, 66.45
Roosevelt, Ronald Wilson Reagan, Republican, 55.24
Rosebud, Ronald Wilson Reagan, Republican, 54.46
Sanders, Ronald Wilson Reagan, Republican, 54.86
Sheridan, Ronald Wilson Reagan, Republican, 56.94
Silver Bow, James Earl Carter, Democratic, 50.17
Stillwater, Ronald Wilson Reagan, Republican, 61.26
Sweet Grass, Ronald Wilson Reagan, Republican, 67.22
Teton, Ronald Wilson Reagan, Republican, 67.76
Toole, Ronald Wilson Reagan, Republican, 70.18
Treasure, Ronald Wilson Reagan, Republican, 57.94
Valley, Ronald Wilson Reagan, Republican, 62.47
Wheatland, Ronald Wilson Reagan, Republican, 60.33
Wibaux, Ronald Wilson Reagan, Republican, 61.56
Yellowstone, Ronald Wilson Reagan, Republican, 56.57
