Appling, undefined, County, -1
Atkinson, undefined, County, -1
Bacon, undefined, County, -1
Baker, undefined, County, -1
Baldwin, undefined, County, -1
Banks, undefined, County, -1
Barrow, undefined, County, -1
Bartow, undefined, County, -1
Ben Hill, undefined, County, -1
Berrien, undefined, County, -1
Bibb, undefined, County, -1
Bleckley, undefined, County, -1
Brantley, undefined, County, -1
Brooks, undefined, County, -1
Bryan, undefined, County, -1
Bulloch, undefined, County, -1
Burke, undefined, County, -1
Butts, undefined, County, -1
Calhoun, undefined, County, -1
Camden, undefined, County, -1
Candler, undefined, County, -1
Carroll, undefined, County, -1
Catoosa, undefined, County, -1
Charlton, undefined, County, -1
Chatham, undefined, County, -1
Chattahoochee, undefined, County, -1
Chattooga, undefined, County, -1
Cherokee, undefined, County, -1
Clarke, undefined, County, -1
Clay, undefined, County, -1
Clayton, undefined, County, -1
Clinch, undefined, County, -1
Cobb, undefined, County, -1
Coffee, undefined, County, -1
Colquitt, undefined, County, -1
Columbia, undefined, County, -1
Cook, undefined, County, -1
Coweta, undefined, County, -1
Crawford, undefined, County, -1
Crisp, undefined, County, -1
Dade, undefined, County, -1
Dawson, undefined, County, -1
Decatur, undefined, County, -1
DeKalb, undefined, County, -1
Dodge, undefined, County, -1
Dooly, undefined, County, -1
Dougherty, undefined, County, -1
Douglas, undefined, County, -1
Early, undefined, County, -1
Echols, undefined, County, -1
Effingham, undefined, County, -1
Elbert, undefined, County, -1
Emanuel, undefined, County, -1
Evans, undefined, County, -1
Fannin, undefined, County, -1
Fayette, undefined, County, -1
Floyd, undefined, County, -1
Forsyth, undefined, County, -1
Franklin, undefined, County, -1
Fulton, undefined, County, -1
Gilmer, undefined, County, -1
Glascock, undefined, County, -1
Glynn, undefined, County, -1
Gordon, undefined, County, -1
Grady, undefined, County, -1
Greene, undefined, County, -1
Gwinnett, undefined, County, -1
Habersham, undefined, County, -1
Hall, undefined, County, -1
Hancock, undefined, County, -1
Haralson, undefined, County, -1
Harris, undefined, County, -1
Hart, undefined, County, -1
Heard, undefined, County, -1
Henry, undefined, County, -1
Houston, undefined, County, -1
Irwin, undefined, County, -1
Jackson, undefined, County, -1
Jasper, undefined, County, -1
Jeff Davis, undefined, County, -1
Jefferson, undefined, County, -1
Jenkins, undefined, County, -1
Johnson, undefined, County, -1
Jones, undefined, County, -1
Lamar, undefined, County, -1
Lanier, undefined, County, -1
Laurens, undefined, County, -1
Lee, undefined, County, -1
Liberty, undefined, County, -1
Lincoln, undefined, County, -1
Long, undefined, County, -1
Lowndes, undefined, County, -1
Lumpkin, undefined, County, -1
Macon, undefined, County, -1
Madison, undefined, County, -1
Marion, undefined, County, -1
McDuffie, undefined, County, -1
McIntosh, undefined, County, -1
Meriwether, undefined, County, -1
Miller, undefined, County, -1
Mitchell, undefined, County, -1
Monroe, undefined, County, -1
Montgomery, undefined, County, -1
Morgan, undefined, County, -1
Murray, undefined, County, -1
Muscogee, undefined, County, -1
Newton, undefined, County, -1
Oconee, undefined, County, -1
Oglethorpe, undefined, County, -1
Paulding, undefined, County, -1
Peach, undefined, County, -1
Pickens, undefined, County, -1
Pierce, undefined, County, -1
Pike, undefined, County, -1
Polk, undefined, County, -1
Pulaski, undefined, County, -1
Putnam, undefined, County, -1
Quitman, undefined, County, -1
Rabun, undefined, County, -1
Randolph, undefined, County, -1
Richmond, undefined, County, -1
Rockdale, undefined, County, -1
Schley, undefined, County, -1
Screven, undefined, County, -1
Seminole, undefined, County, -1
Spalding, undefined, County, -1
Stephens, undefined, County, -1
Stewart, undefined, County, -1
Sumter, undefined, County, -1
Talbot, undefined, County, -1
Taliaferro, undefined, County, -1
Tattnall, undefined, County, -1
Taylor, undefined, County, -1
Telfair, undefined, County, -1
Terrell, undefined, County, -1
Thomas, undefined, County, -1
Tift, undefined, County, -1
Toombs, undefined, County, -1
Towns, undefined, County, -1
Treutlen, undefined, County, -1
Troup, undefined, County, -1
Turner, undefined, County, -1
Twiggs, undefined, County, -1
Union, undefined, County, -1
Upson, undefined, County, -1
Walker, undefined, County, -1
Walton, undefined, County, -1
Ware, undefined, County, -1
Warren, undefined, County, -1
Washington, undefined, County, -1
Wayne, undefined, County, -1
Webster, undefined, County, -1
Wheeler, undefined, County, -1
White, undefined, County, -1
Whitfield, undefined, County, -1
Wilcox, undefined, County, -1
Wilkes, undefined, County, -1
Wilkinson, undefined, County, -1
